candidate_id,shot_id,conditioning_token,cap_token,provider,host_load,stage,sample_index,timestamp_unix_s,device_used_mib,process_used_mib
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,baseline,0,1788296310.017404,1083.375,
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,session_create,1,1788296310.0174177,12680.5,11492.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,steady,2,1788296310.0174212,23430.5,22242.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,session_create,3,1788296310.0174258,23444.5,22260.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,steady,4,1788296310.0174282,23434.5,22246.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,session_create,5,1788296310.0174305,23437.8125,22254.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,steady,6,1788296310.0174327,23431.8125,22248.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,cleanup,7,1788296310.0174372,1291.8125,214.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,idle,process_exit,8,1788296310.0174491,1072.6875,
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,baseline,0,1788297090.5380192,9989.8125,
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,1,1788297090.5380359,21486.9375,11492.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,2,1788297090.5380406,21486.9375,11492.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,3,1788297090.5380447,21626.9375,11632.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,4,1788297090.5380485,21492.9375,11498.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,5,1788297090.5380523,21514.9375,11536.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,6,1788297090.5380561,21490.9375,11496.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,cleanup,7,1788297090.5380602,10208.0625,214.0
sea-raft-m,syn-fhd-1920x1080-par1,native-clamp01-v1,mp2,cuda,live_flame,process_exit,8,1788297090.5380642,9988.9375,
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,baseline,0,1788297843.983507,1074.875,
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,session_create,1,1788297843.983516,12574.0,11494.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,steady,2,1788297843.9835181,23324.0,22244.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,session_create,3,1788297843.9835198,23364.0,22316.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,steady,4,1788297843.983521,23324.0,22244.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,session_create,5,1788297843.983523,23398.0,22318.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,steady,6,1788297843.983524,23328.0,22248.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,cleanup,7,1788297843.9835255,1284.0,214.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,idle,process_exit,8,1788297843.9835274,1064.875,
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,baseline,0,1788299451.4082155,9994.0,
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,1,1788299451.4082375,21490.25,11492.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,2,1788299451.4082417,21490.25,11492.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,3,1788299451.4082456,21628.25,11630.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,4,1788299451.4082499,21494.25,11496.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,session_create,5,1788299451.4082537,21516.25,11518.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,steady,6,1788299451.4082577,21492.25,11494.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,cleanup,7,1788299451.4082618,10212.25,214.0
sea-raft-m,syn-uhd-3840x2160-par1,native-clamp01-v1,mp2,cuda,live_flame,process_exit,8,1788299451.4082658,9993.125,
